,SettlementPoint,Year,Month,AveragePrice
111,HB_HUBAVG,2017,06,28.523435326842836
112,HB_HUBAVG,2017,07,31.871641991924626
113,HB_HUBAVG,2017,08,27.84769851951548
114,HB_HUBAVG,2017,09,24.52720445062587
115,HB_HUBAVG,2017,10,24.707658142664872
116,HB_HUBAVG,2017,11,23.174575799721836
117,HB_HUBAVG,2017,12,21.214212651413188
118,HB_HUBAVG,2018,01,37.78729475100942
119,HB_HUBAVG,2018,02,21.842339791356185
120,HB_HUBAVG,2018,03,22.41791105121294
121,HB_HUBAVG,2018,04,22.460737134909596
122,HB_HUBAVG,2018,05,32.86601615074024
123,HB_HUBAVG,2018,06,29.797343532684284
124,HB_HUBAVG,2018,07,78.90592193808884
125,HB_HUBAVG,2018,08,31.710094212651413
126,HB_HUBAVG,2018,09,27.06484005563283
127,HB_HUBAVG,2018,10,29.90452220726783
128,HB_HUBAVG,2018,11,30.289568845618913
129,HB_HUBAVG,2018,12,30.21464333781965
130,HB_HUBAVG,2019,01,24.688977119784656
131,HB_HUBAVG,2019,02,21.2497913561848
132,HB_HUBAVG,2019,03,27.199366576819408
133,HB_HUBAVG,2019,04,22.220556328233656
134,HB_HUBAVG,2019,05,23.882812920592194
135,HB_HUBAVG,2019,06,25.17660639777469
136,HB_HUBAVG,2019,07,29.71672947510094
137,HB_HUBAVG,2019,08,126.4990982503365
138,HB_HUBAVG,2019,09,79.5490264255911
139,HB_HUBAVG,2019,10,28.14791386271871
140,HB_HUBAVG,2019,11,23.26685674547984
141,HB_NORTH,2016,01,18.879919300605245
142,HB_NORTH,2016,02,15.300661870503598
143,HB_NORTH,2016,03,16.87146900269542
144,HB_NORTH,2016,04,18.356717663421417
145,HB_NORTH,2016,05,17.912880215343204
146,HB_NORTH,2016,06,23.169290681502087
147,HB_NORTH,2016,07,26.810847913862716
148,HB_NORTH,2016,08,29.843310901749668
149,HB_NORTH,2016,09,26.258929068150206
150,HB_NORTH,2016,10,24.011951547779276
151,HB_NORTH,2016,11,18.669248956884562
152,HB_NORTH,2016,12,25.158263795423963
153,HB_NORTH,2017,01,22.991534320323012
154,HB_NORTH,2017,02,19.45929955290611
155,HB_NORTH,2017,03,21.24122641509434
156,HB_NORTH,2017,04,21.42375521557719
157,HB_NORTH,2017,05,23.425020188425304
158,HB_NORTH,2017,06,25.897218358831708
159,HB_NORTH,2017,07,30.660430686406457
160,HB_NORTH,2017,08,26.840632570659494
161,HB_NORTH,2017,09,23.35297635605007
162,HB_NORTH,2017,10,21.408640646029607
163,HB_NORTH,2017,11,21.603435326842835
164,HB_NORTH,2017,12,20.957456258411845
165,HB_NORTH,2018,01,37.59983849259757
166,HB_NORTH,2018,02,21.780268256333834
167,HB_NORTH,2018,03,22.62183288409704
168,HB_NORTH,2018,04,23.535354659248956
169,HB_NORTH,2018,05,35.33746971736204
170,HB_NORTH,2018,06,30.227621696801112
171,HB_NORTH,2018,07,79.04220726783312
172,HB_NORTH,2018,08,31.618438761776588
173,HB_NORTH,2018,09,27.312336578581363
174,HB_NORTH,2018,10,30.050323014804846
175,HB_NORTH,2018,11,31.248470097357444
176,HB_NORTH,2018,12,30.413243606998655
177,HB_NORTH,2019,01,24.337806191117096
178,HB_NORTH,2019,02,20.863591654247394
179,HB_NORTH,2019,03,28.115283018867927
180,HB_NORTH,2019,04,22.997621696801115
181,HB_NORTH,2019,05,23.977227456258415
182,HB_NORTH,2019,06,25.180945757997215
183,HB_NORTH,2019,07,29.801884253028263
184,HB_NORTH,2019,08,126.67144010767159
185,HB_NORTH,2019,09,80.01005563282337
186,HB_NORTH,2019,10,28.01269179004038
187,HB_NORTH,2019,11,23.638191933240613
188,HB_SOUTH,2016,01,18.971788836583727
189,HB_SOUTH,2016,02,15.341683453237412
190,HB_SOUTH,2016,03,16.77533692722372
191,HB_SOUTH,2016,04,18.519248956884564
192,HB_SOUTH,2016,05,18.578600269179002
193,HB_SOUTH,2016,06,24.658011126564674
194,HB_SOUTH,2016,07,26.97049798115747
195,HB_SOUTH,2016,08,31.22512786002692
196,HB_SOUTH,2016,09,27.416856745479834
197,HB_SOUTH,2016,10,26.69977119784657
198,HB_SOUTH,2016,11,20.156063977746868
199,HB_SOUTH,2016,12,25.71862718707941
200,HB_SOUTH,2017,01,23.62534320323015
201,HB_SOUTH,2017,02,21.09296572280179
202,HB_SOUTH,2017,03,23.69649595687332
203,HB_SOUTH,2017,04,25.624923504867873
204,HB_SOUTH,2017,05,26.50255720053836
205,HB_SOUTH,2017,06,29.66513212795549
206,HB_SOUTH,2017,07,32.13697173620458
207,HB_SOUTH,2017,08,28.324670255720054
208,HB_SOUTH,2017,09,25.522489568845618
209,HB_SOUTH,2017,10,25.569703903095558
210,HB_SOUTH,2017,11,23.984923504867872
211,HB_SOUTH,2017,12,22.002476446837147
212,HB_SOUTH,2018,01,39.51477792732167
213,HB_SOUTH,2018,02,22.31929955290611
214,HB_SOUTH,2018,03,22.90245283018868
215,HB_SOUTH,2018,04,24.48486787204451
216,HB_SOUTH,2018,05,34.25333781965007
217,HB_SOUTH,2018,06,30.08339360222531
218,HB_SOUTH,2018,07,78.92025572005383
219,HB_SOUTH,2018,08,31.68298788694482
220,HB_SOUTH,2018,09,27.200194714881782
221,HB_SOUTH,2018,10,29.786890982503365
